Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,10497.97,100.00,0,0,0,0,10497.97,1.93,197097
2,2,10464.43,100.00,0,0,0,0,10464.43,2.14,226984
3,3,10657.83,100.00,0,0,0,0,10657.83,2.20,212863
4,4,10478.58,100.00,0,0,0,0,10478.58,2.11,237963
5,5,10489.10,100.00,0,0,0,0,10489.10,2.17,219092
6,6,10502.63,100.00,0,0,0,0,10502.63,2.14,213696
7,7,10478.27,100.00,0,0,0,0,10478.27,2.06,222492
8,8,10312.30,100.00,0,0,0,0,10312.30,2.22,235874
9,9,10497.05,100.00,0,0,0,0,10497.05,2.28,227709
10,10,10264.30,100.00,0,0,0,0,10264.30,2.42,208443
11,11,10441.67,100.00,0,0,0,0,10441.67,2.35,229957
12,12,10364.22,100.00,0,0,0,0,10364.22,2.48,214372
13,13,10415.00,100.00,0,0,0,0,10415.00,2.19,205573
14,14,10218.07,100.00,0,0,0,0,10218.07,2.30,200020
15,15,10532.42,100.00,0,0,0,0,10532.42,1.64,240382
16,16,10460.95,100.00,0,0,0,0,10460.95,2.05,212859
17,17,10619.90,100.00,0,0,0,0,10619.90,2.12,226624
18,18,10490.38,100.00,0,0,0,0,10490.38,2.17,223844
19,19,10474.77,100.00,0,0,0,0,10474.77,2.32,241955
20,20,10296.57,100.00,0,0,0,0,10296.57,2.46,203832
21,21,10353.48,100.00,0,0,0,0,10353.48,2.23,230320
22,22,10519.30,100.00,0,0,0,0,10519.30,2.22,212366
23,23,10387.07,100.00,0,0,0,0,10387.07,2.32,253263
24,24,10310.62,100.00,0,0,0,0,10310.62,2.32,240302
25,25,10544.22,100.00,0,0,0,0,10544.22,2.35,187899
26,26,10411.95,100.00,0,0,0,0,10411.95,2.25,206604
27,27,10408.73,100.00,0,0,0,0,10408.73,2.52,224135
28,28,10692.15,100.00,0,0,0,0,10692.15,1.98,205734
29,29,10356.05,100.00,0,0,0,0,10356.05,2.25,196973
30,30,10553.83,100.00,0,0,0,0,10553.83,1.82,193873
