Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,1852.75,100.00,0,0,0,0,1852.75,3.06,35151
2,2,1851.92,100.00,0,0,0,0,1851.92,2.77,33048
3,3,1807.42,100.00,0,0,0,0,1807.42,2.81,33266
4,4,1858.97,100.00,0,0,0,0,1858.97,3.03,34120
5,5,1850.30,100.00,0,0,0,0,1850.30,2.54,34823
6,6,1875.10,100.00,0,0,0,0,1875.10,2.83,31169
7,7,1875.82,100.00,0,0,0,0,1875.82,3.23,33217
8,8,1801.47,100.00,0,0,0,0,1801.47,2.82,31759
9,9,1841.48,100.00,0,0,0,0,1841.48,2.93,32910
10,10,1815.23,100.00,0,0,0,0,1815.23,3.05,31994
11,11,1886.93,100.00,0,0,0,0,1886.93,3.07,32081
12,12,1832.15,100.00,0,0,0,0,1832.15,3.11,35597
13,13,1856.43,100.00,0,0,0,0,1856.43,2.88,35773
14,14,1868.72,100.00,0,0,0,0,1868.72,3.39,34922
15,15,1822.08,100.00,0,0,0,0,1822.08,2.63,32162
16,16,1855.38,100.00,0,0,0,0,1855.38,2.55,31190
17,17,1833.68,100.00,0,0,0,0,1833.68,3.27,33590
18,18,1812.92,100.00,0,0,0,0,1812.92,2.63,33033
19,19,1890.67,100.00,0,0,0,0,1890.67,2.85,32270
20,20,1823.22,100.00,0,0,0,0,1823.22,2.74,33427
21,21,1868.25,100.00,0,0,0,0,1868.25,2.79,33330
22,22,1831.53,100.00,0,0,0,0,1831.53,2.88,32899
23,23,1910.73,100.00,0,0,0,0,1910.73,2.67,35203
24,24,1861.97,100.00,0,0,0,0,1861.97,3.31,35347
25,25,1851.13,100.00,0,0,0,0,1851.13,2.54,35535
26,26,1825.47,100.00,0,0,0,0,1825.47,3.05,43260
27,27,1872.05,100.00,0,0,0,0,1872.05,3.17,43903
28,28,1845.88,100.00,0,0,0,0,1845.88,2.78,34122
29,29,1888.63,100.00,0,0,0,0,1888.63,3.07,41475
30,30,1832.13,100.00,0,0,0,0,1832.13,2.86,43297
