Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,974.58,100.00,0,0,0,0,974.58,1.03,1904
2,2,985.13,100.00,0,0,0,0,985.13,1.04,1620
3,3,973.03,100.00,0,0,0,0,973.03,1.04,1643
4,4,993.88,100.00,0,0,0,0,993.88,1.03,1752
5,5,975.95,100.00,0,0,0,0,975.95,1.03,1545
6,6,982.23,100.00,0,0,0,0,982.23,1.03,1491
7,7,969.27,100.00,0,0,0,0,969.27,1.05,1667
8,8,952.22,100.00,0,0,0,0,952.22,1.04,1719
9,9,983.02,100.00,0,0,0,0,983.02,1.04,1647
10,10,954.30,100.00,0,0,0,0,954.30,1.03,1653
11,11,981.33,100.00,0,0,0,0,981.33,1.05,1560
12,12,982.82,100.00,0,0,0,0,982.82,1.03,1561
13,13,984.62,100.00,0,0,0,0,984.62,1.04,1580
14,14,981.78,100.00,0,0,0,0,981.78,1.05,1795
15,15,965.28,100.00,0,0,0,0,965.28,1.03,1518
16,16,965.28,100.00,0,0,0,0,965.28,1.06,1648
17,17,965.00,100.00,0,0,0,0,965.00,1.04,1646
18,18,997.23,100.00,0,0,0,0,997.23,1.04,1531
19,19,981.32,100.00,0,0,0,0,981.32,1.04,1650
20,20,986.77,100.00,0,0,0,0,986.77,1.03,1729
21,21,968.65,100.00,0,0,0,0,968.65,1.05,1647
22,22,979.45,100.00,0,0,0,0,979.45,1.03,1488
23,23,971.33,100.00,0,0,0,0,971.33,1.04,1750
24,24,995.33,100.00,0,0,0,0,995.33,1.05,1623
25,25,988.52,100.00,0,0,0,0,988.52,1.04,1511
26,26,981.00,100.00,0,0,0,0,981.00,1.04,1683
27,27,975.37,100.00,0,0,0,0,975.37,1.03,1541
28,28,995.72,100.00,0,0,0,0,995.72,1.03,1506
29,29,995.08,100.00,0,0,0,0,995.08,1.04,1819
30,30,965.03,100.00,0,0,0,0,965.03,1.03,1491
